task_name,task_checksum,harnesses_tried,attempts,graded_attempts,successful_attempts,best_accuracy_rate,accuracy_winner_harnesses,accuracy_winner_samples,solved_by_harnesses,lowest_success_tokens,token_winner_harness,token_winner_variant,token_winner_job,lowest_success_cost_usd,cost_winner_harness,cost_winner_variant,cost_winner_job,fastest_success_seconds,time_winner_harness,time_winner_variant,time_winner_job
instance_ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83-v906c969b551b346ef54a2c0b41e04f632b7b73c2,22570d50c4c1b280fb4602e06f77c2dfb221f459ccecf613624b7f0c0993cfbf,claude-code; mini-swe-agent; mini-swe-agent-pypi,4,4,2,1.0,claude-code; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent-pypi,2135116,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,60b4b2de5be8,0.4514,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,564.5,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447
instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,c94b11768b0624ea2e8c9a8b5a840b106d8f29a74f08c878bdf865794b7c3406,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,3,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,918452,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,0.1767,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,162.4,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,4ae8d59582c2b79fa6d9a9d6079d3641f2165db59f472a8804fd629e92d0994b,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,2,1.0,claude-code; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent-pypi,3101340,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,25b3305f157b,0.9004,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,454,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,25b3305f157b
instance_ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,1a96c5b824849dbae5d52994b6e6f06be37b189e8e29c46e2b9e6e245d0193e2,claude-code; mini-swe-agent; mini-swe-agent-pypi,8,8,2,1.0,claude-code,claude-code 2/5,claude-code,5083428,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,d17f2121f74e,5.1878,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,d17f2121f74e,1356.7,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,d17f2121f74e
instance_ansible__ansible-1c06c46cc14324df35ac4f39a45fb3ccd602195d-v0f01c69f1e2528b935359cfe578530722bca2c59,9baef2f763e14162eeeb0c51b2ef320a0276b6cd0d37303650290cef12a8d2d0,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,0,0.0,,,,,,,,,,,,,,,
instance_ansible__ansible-1ee70fc272aff6bf3415357c6e13c5de5b928d9b-v1055803c3a812189a1133297f7f5468579283f86,2dd662c897d248fff444ed561f063ac27d3dc14c066c84a96ca75b5f51162641,claude-code; mini-swe-agent; mini-swe-agent-pypi; pi,11,11,9,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 7/7; mini-swe-agent 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,498284,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,55b03f849574,0.1196,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,131.8,claude-code,claude-code | /mnt/glm-5.2-nvfp4 | e2b | python,2f892e769696
instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,2b22f902055cb5a5cb04591f7e4648b2204e34e0ff5a4c53428a6855285b6e1b,claude-code; codex; mini-swe-agent; mini-swe-agent-pypi; pi,14,13,9,1.0,claude-code; mini-swe-agent,claude-code 8/8; mini-swe-agent 1/2,claude-code; mini-swe-agent,879739,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,55b03f849574,0.1785,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,297.1,claude-code,claude-code | glm-5.2 | e2b | python,18e979aa01bb
instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,0071778c25226c9b3f84e1a03ab0531c4937499ed06f5e8d43f2521e84a6cd49,subconscious-code,1,0,0,0.0,,,,,,,,,,,,,,,
instance_ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf-v1055803c3a812189a1133297f7f5468579283f86,3ebe1094df444832cafd925d42eec3bf8bcf853d71f540b5708cbd4abb50a141,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,1,1.0,claude-code,claude-code 1/2,claude-code,1252410,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,1.1229,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,258.6,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33-v1055803c3a812189a1133297f7f5468579283f86,b63b285ad6799f741ba16086150537ce9d4dc97267e9117e7ec696945eb90e4d,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,3,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,1254667,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,0.2279,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,386.9,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6
instance_ansible__ansible-3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83-v0f01c69f1e2528b935359cfe578530722bca2c59,6b0a42d58de171fdda7fdfe84480867e74822460bdb86c23c94fb8697bc738c0,claude-code; mini-swe-agent; mini-swe-agent-pypi,6,6,0,0.0,,,,,,,,,,,,,,,
instance_ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a-v7eee2454f617569fd6889f2211f75bc02a35f9f8,2947edeba3fc7f2d000d83c6af432c6e5956a7638f46b574750454885dd95e34,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,3,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,1832475,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,0.3517,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,455.2,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-39bd8b99ec8c6624207bf3556ac7f9626dad9173-v1055803c3a812189a1133297f7f5468579283f86,73267fb90b5899076c8bd57ddf76b21968bfdd32367f9a8e2259a3e70153be77,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,0,0.0,,,,,,,,,,,,,,,
instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59,506144091598b5953fe2200e6dfbe33e2f922932216d8a7ad84a37092cf90058,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,3,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,513336,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,0.1163,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,234.2,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,6fe9a9461289ba33420da10c57f77249da1c92370807d1e5da0c68671066b4a3,claude-code; mini-swe-agent; mini-swe-agent-pypi; pi,11,10,8,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 6/6; mini-swe-agent 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,705890,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,55b03f849574,0.1569,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,234.8,claude-code,claude-code | glm-5.2 | e2b | python,399624f9cd96
instance_ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,c425f60f1df202eb90fc9b443a5010015df8b3dc2f28e225950085edbaf4f706,claude-code; mini-swe-agent; mini-swe-agent-pypi,4,4,1,1.0,claude-code,claude-code 1/2,claude-code,1714030,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,2.1087,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,418.2,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e-v7eee2454f617569fd6889f2211f75bc02a35f9f8,20de4f40a9060031222429721a261955ad286960fb23b4399d40caaf9833af4d,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,4,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent 2/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,396099,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,0.083,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,269.6,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6
instance_ansible__ansible-42355d181a11b51ebfc56f6f4b3d9c74e01cb13b-v1055803c3a812189a1133297f7f5468579283f86,29f1191cc8d5bedeb7713964aa4395d8375cf788a03794b2cfc39d32729d0145,claude-code; mini-swe-agent; mini-swe-agent-pypi; pi,11,10,7,1.0,claude-code; mini-swe-agent,claude-code 6/6; mini-swe-agent 1/2,claude-code; mini-swe-agent,2061327,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,0.3609,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,414.2,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6
instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,a4bb9ba715b2faed9c94ebeaf4ede8135f47ee266f5622f49e7bf1fc718a9ab0,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,3,1.0,claude-code; mini-swe-agent-pypi,claude-code 2/3; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent-pypi,1030445,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,0.3276,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,279.2,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-4c5ce5a1a9e79a845aff4978cfeb72a0d4ecf7d6-v1055803c3a812189a1133297f7f5468579283f86,9b9415413501784aa714b9924d36bb7a2ed6d8d209239daf1cf313d812085b8b,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,1,1.0,claude-code,claude-code 1/2,claude-code,5488772,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,5.4979,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,625,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d-v7eee2454f617569fd6889f2211f75bc02a35f9f8,28e0220b152bc3b7bf6de333b004d70afb5c4fb0cbbd5bd7418586c88e98f5e4,claude-code; mini-swe-agent; mini-swe-agent-pypi; pi,12,12,8,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 6/8; mini-swe-agent 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,525365,claude-code,claude-code | glm-5.2 | e2b | python,18e979aa01bb,0.1239,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,227.6,claude-code,claude-code | glm-5.2 | e2b | python,18e979aa01bb
instance_ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d-v7eee2454f617569fd6889f2211f75bc02a35f9f8,2a1d972352d865168d999c6823415a0b5493b758b07de4ea186ef86c96fdaef4,subconscious-code,1,1,0,0.0,,,,,,,,,,,,,,,
instance_ansible__ansible-5260527c4a71bfed99d803e687dd19619423b134-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,1b30543fdc87f59e9d37996711da87bff441390b0ad535faaa63ffdb6ab13fbe,claude-code; mini-swe-agent; mini-swe-agent-pypi,7,7,5,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 2/4; mini-swe-agent 2/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,721849,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,0.1387,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,283.8,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6
instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,c065db57db93890d50befa0c6d8b4323fbab8dfeb983e0d0ab3d79bd50c7fe5a,claude-code; mini-swe-agent; mini-swe-agent-pypi,4,4,2,1.0,claude-code; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent-pypi,3562754,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,1.2721,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,798.3,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-5c225dc0f5bfa677addeac100a8018df3f3a9db1-v173091e2e36d38c978002990795f66cfc0af30ad,ed7fca221ab4d1122a59e2aa8b738789d4d1a4fa23d1dd7cf0ca1f822897f389,claude-code; mini-swe-agent; mini-swe-agent-pypi,7,7,4,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 2/4; mini-swe-agent 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,390594,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,0.0767,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,109.1,claude-code,claude-code | /mnt/glm-5.2-nvfp4 | e2b | python,2f892e769696
instance_ansible__ansible-5d253a13807e884b7ce0b6b57a963a45e2f0322c-v1055803c3a812189a1133297f7f5468579283f86,6e4a868037ffb3e3631336a7f7ea6417e7aaacb0f357a4e30ca49dc5017062be,claude-code; mini-swe-agent; mini-swe-agent-pypi,4,4,2,1.0,claude-code; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent-pypi,2015636,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,0.6943,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,474.7,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-5e369604e1930b1a2e071fecd7ec5276ebd12cb1-v0f01c69f1e2528b935359cfe578530722bca2c59,bd933d39737288464fd34186cf4c9c4c6309e059d92a3831a4e7551b2953a814,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,4,2,1.0,claude-code; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent-pypi,2067283,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,0.3775,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,679.9,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,25b3305f157b
instance_ansible__ansible-5e88cd9972f10b66dd97e1ee684c910c6a2dd25e-v906c969b551b346ef54a2c0b41e04f632b7b73c2,2607bccfe0c520bcd4adece0386978363cd3374bc719ceb9a178a8c3a0dcf1d1,claude-code; mini-swe-agent; mini-swe-agent-pypi,6,6,2,1.0,claude-code,claude-code 2/3,claude-code,544422,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,d17f2121f74e,0.6492,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,d17f2121f74e,183.2,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1-v0f01c69f1e2528b935359cfe578530722bca2c59,a0c611e24ff01e5f51bc7e9c2b57077586324bfa4b19c4dfd588c833d1fbdd16,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,2,1.0,claude-code; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent-pypi,1160733,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,0.215,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,295.2,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-622a493ae03bd5e5cf517d336fc426e9d12208c7-v906c969b551b346ef54a2c0b41e04f632b7b73c2,12e76b58f513eb643854497c43cad23c48c1e7d244ac58bc8664facb9855110b,claude-code; mini-swe-agent; mini-swe-agent-pypi,9,9,4,1.0,claude-code,claude-code 4/6,claude-code,1324391,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,0.2627,claude-code,claude-code | glm-5.2 | e2b | python,18e979aa01bb,274.8,claude-code,claude-code | glm-5.2 | e2b | python,399624f9cd96
instance_ansible__ansible-622a493ae03bd5e5cf517d336fc426e9d12208c7-v906c969b551b346ef54a2c0b41e04f632b7b73c2,8ad9c1850234f3b48b019b6055201a88ce8e253ac174202e5a335aba9e32b950,subconscious-code,1,0,0,0.0,,,,,,,,,,,,,,,
instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59,c2764c9515a6e07831c17be96c1cdcba4f6ee1ae89ec6e33f7b22f8081233099,claude-code; mini-swe-agent; mini-swe-agent-pypi,4,4,2,1.0,claude-code; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent-pypi,15511461,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,2.5603,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,1608,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447
instance_ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,a5413929910bb202f218b7917568c3fe52f4a0dca8ef7071460f0013a54c417e,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,1,1.0,claude-code,claude-code 1/2,claude-code,1768214,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,1.8982,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,470,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
